SD State
ND State
Oklahoma State
St Johns
VCU
Harvard
NC State
Cal Irvine
louisville
Ole Miss
Wyoming
LSU
Texas
Iowa
Cincy
Oregon
West Virginia
Davidson
Baylor
Kansas
Indiana
Purdue
Buffalo
Butler
Maryland
Dayton
Wichita State
Arkansas
Northern Iowa
Eastern Washington
Iowa State
Northeastern
Xavier
Ohio State
Villanova
UNC(le adams)
Smu
Notre Dame
Kentucky
Duke
SF Austin
Arizona
Gonzaga
